timeframe,horizon,threshold,voladj,%BUY,%HOLD,%SELL,%TRADE,entropy,persist_lag1,SNR,MI,score_entropy,score_density,score_snr,score_persist,score_mi,composite_score
4h,6,1.0,voladj,14.7,72.8,12.5,27.2,1.116,0.689,0.0443,0.4421,0.23731587557490755,0.10763209393325318,0.9999999972299168,0.02687411612066848,0.284283980496273,0.3288728074249356
4h,5,1.0,voladj,14.2,73.3,12.4,26.7,1.102,0.65,0.0405,0.4317,0.2144026186228475,0.09784735812113925,0.8947368396267678,0.08203677523592123,0.2527305824475938,0.3064344366196166
4h,4,1.0,voladj,13.9,74.0,12.1,26.0,1.085,0.602,0.0364,0.4201,0.186579378038203,0.08414872798417977,0.7811634327391596,0.14992927876238626,0.2175364077009901,0.2823235935618444
4h,1,1.0,voladj,11.6,77.5,10.9,22.5,0.995,0.011,0.0188,0.3623,0.039279869060674356,0.015655577299382294,0.2936288080508897,0.9858557284319864,0.042172330084292435,0.27517383953426416
4h,3,1.0,voladj,13.2,75.0,11.8,25.0,1.061,0.529,0.032,0.4029,0.14729950897752864,0.06457925635995192,0.659279776567092,0.253182461208885,0.1653519416974053,0.2570359673261787
4h,2,1.0,voladj,12.3,76.2,11.5,23.8,1.029,0.391,0.0265,0.3826,0.09492635022996285,0.041095890410878515,0.5069252063520077,0.4483734088474719,0.10376213589084887,0.23857480906318967
2h,1,1.0,voladj,11.1,78.3,10.6,21.7,0.971,-0.007,0.0129,0.3484,0.0,0.0,0.13019390545652657,0.9915134370591919,0.0,0.2243414685031437
2h,6,1.0,voladj,13.2,74.6,12.2,25.4,1.071,0.68,0.0311,0.4089,0.16366612108614295,0.07240704500964303,0.6343490287137145,0.03960396053188053,0.18355582518702793,0.21772191090063753
1h,1,1.0,voladj,11.4,77.8,10.8,22.2,0.986,-0.001,0.0082,0.3565,0.024549918162921472,0.009784735812113926,0.0,1.0,0.024575242710990503,0.21178071310980176
2h,5,1.0,voladj,12.8,75.1,12.1,24.9,1.06,0.644,0.0286,0.4014,0.1456628477666674,0.0626223091975291,0.5650969513432218,0.0905233381767293,0.16080097082499964,0.20418437730891284
2h,4,1.0,voladj,12.5,75.7,11.8,24.3,1.043,0.591,0.0258,0.3911,0.11783960718202288,0.050880626222992435,0.48753462468826964,0.16548797748720112,0.12955097083448092,0.1896731931003705
2h,3,1.0,voladj,12.2,76.3,11.5,23.7,1.027,0.512,0.0226,0.381,0.09165302780823997,0.0391389432484557,0.3988919656540388,0.27722772287450803,0.09890776696028288,0.18080114835150293
2h,2,1.0,voladj,11.7,77.2,11.1,22.8,1.001,0.373,0.0184,0.3655,0.04909983632584276,0.021526418786650663,0.28254847567161084,0.47383309766989634,0.051881067945424436,0.17563871769890593
